home_team,away_team,sport_title,commence_time,bookmaker_titles
Las Vegas Raiders,Kansas City Chiefs,NFL,2024-10-27T20:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
San Francisco 49ers,Dallas Cowboys,NFL,2024-10-28T00:20:00Z,"['FanDuel', 'DraftKings', 'Caesars', 'BetUS']"
Pittsburgh Steelers,New York Giants,NFL,2024-10-29T00:20:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New York Jets,Houston Texans,NFL,2024-11-01T00:15:00Z,"['DraftKings', 'Caesars']"
Atlanta Falcons,Dallas Cowboys,NFL,2024-11-03T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Baltimore Ravens,Denver Broncos,NFL,2024-11-03T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Buffalo Bills,Miami Dolphins,NFL,2024-11-03T18:00:00Z,"['DraftKings', 'Caesars']"
Carolina Panthers,New Orleans Saints,NFL,2024-11-03T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Cincinnati Bengals,Las Vegas Raiders,NFL,2024-11-03T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Cleveland Browns,Los Angeles Chargers,NFL,2024-11-03T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Minnesota Vikings,Indianapolis Colts,NFL,2024-11-03T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Tennessee Titans,New England Patriots,NFL,2024-11-03T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New York Giants,Washington Commanders,NFL,2024-11-03T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Arizona Cardinals,Chicago Bears,NFL,2024-11-03T21:05:00Z,"['DraftKings', 'Caesars']"
Green Bay Packers,Detroit Lions,NFL,2024-11-03T21:25:00Z,"['DraftKings', 'Caesars']"
Seattle Seahawks,Los Angeles Rams,NFL,2024-11-03T21:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Philadelphia Eagles,Jacksonville Jaguars,NFL,2024-11-04T01:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Kansas City Chiefs,Tampa Bay Buccaneers,NFL,2024-11-05T01:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Baltimore Ravens,Cincinnati Bengals,NFL,2024-11-08T01:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Carolina Panthers,New York Giants,NFL,2024-11-10T14:30:00Z,"['DraftKings', 'FanDuel', 'Caesars', 'Bovada']"
New Orleans Saints,Atlanta Falcons,NFL,2024-11-10T18:00:00Z,"['DraftKings', 'Caesars']"
Indianapolis Colts,Buffalo Bills,NFL,2024-11-10T18:00:00Z,"['DraftKings', 'Caesars']"
Chicago Bears,New England Patriots,NFL,2024-11-10T18:00:00Z,"['DraftKings', 'Caesars']"
Kansas City Chiefs,Denver Broncos,NFL,2024-11-10T18:00:00Z,"['DraftKings', 'Caesars']"
Jacksonville Jaguars,Minnesota Vikings,NFL,2024-11-10T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Washington Commanders,Pittsburgh Steelers,NFL,2024-11-10T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Tampa Bay Buccaneers,San Francisco 49ers,NFL,2024-11-10T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Los Angeles Chargers,Tennessee Titans,NFL,2024-11-10T21:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Arizona Cardinals,New York Jets,NFL,2024-11-10T21:25:00Z,"['DraftKings', 'Caesars']"
Dallas Cowboys,Philadelphia Eagles,NFL,2024-11-10T21:25:00Z,"['DraftKings', 'Caesars']"
Houston Texans,Detroit Lions,NFL,2024-11-11T01:20:00Z,"['DraftKings', 'Caesars']"
Los Angeles Rams,Miami Dolphins,NFL,2024-11-12T01:20:00Z,"['DraftKings', 'Caesars']"
Philadelphia Eagles,Washington Commanders,NFL,2024-11-15T01:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Pittsburgh Steelers,Baltimore Ravens,NFL,2024-11-17T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Chicago Bears,Green Bay Packers,NFL,2024-11-17T18:00:00Z,"['DraftKings', 'Caesars']"
New Orleans Saints,Cleveland Browns,NFL,2024-11-17T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Detroit Lions,Jacksonville Jaguars,NFL,2024-11-17T18:00:00Z,"['DraftKings', 'Caesars']"
Miami Dolphins,Las Vegas Raiders,NFL,2024-11-17T18:00:00Z,"['DraftKings', 'Caesars']"
New England Patriots,Los Angeles Rams,NFL,2024-11-17T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Tennessee Titans,Minnesota Vikings,NFL,2024-11-17T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Denver Broncos,Atlanta Falcons,NFL,2024-11-17T21:05:00Z,"['DraftKings', 'Caesars']"
San Francisco 49ers,Seattle Seahawks,NFL,2024-11-17T21:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Buffalo Bills,Kansas City Chiefs,NFL,2024-11-17T21:25:00Z,"['FanDuel', 'Caesars', 'DraftKings']"
